题号,题目,A,B,C,D,E
1,您喜欢自我挑战,恰恰相反,不太符合,不确定,比较符合,完全符合
2,您的理科优于文科,恰恰相反,不太符合,不确定,比较符合,完全符合
3,您做事非常细心,恰恰相反,不太符合,不确定,比较符合,完全符合
4,您有时会发脾气,恰恰相反,不太符合,不确定,比较符合,完全符合
5,您对自己要求很高,恰恰相反,不太符合,不确定,比较符合,完全符合
6,您喜欢热闹的环境,恰恰相反,不太符合,不确定,比较符合,完全符合
7,您不太关注他人的工作,恰恰相反,不太符合,不确定,比较符合,完全符合
8,您有时会不冷静,恰恰相反,不太符合,不确定,比较符合,完全符合
9,您有时会感到疲惫,恰恰相反,不太符合,不确定,比较符合,完全符合
10,您每天都会锻炼身体,恰恰相反,不太符合,不确定,比较符合,完全符合
11,您是有耐心的人,恰恰相反,不太符合,不确定,比较符合,完全符合
12,工作时您会很严肃,恰恰相反,不太符合,不确定,比较符合,完全符合
13,您说话比较直接,恰恰相反,不太符合,不确定,比较符合,完全符合
14,您喜欢换着装,恰恰相反,不太符合,不确定,比较符合,完全符合
15,您有时会害羞,恰恰相反,不太符合,不确定,比较符合,完全符合
16,您从来没有吵过架,恰恰相反,不太符合,不确定,比较符合,完全符合
17,您每月都按计划消费,恰恰相反,不太符合,不确定,比较符合,完全符合
18,您经常鼓励身边的人,恰恰相反,不太符合,不确定,比较符合,完全符合
19,您平时说话很少,恰恰相反,不太符合,不确定,比较符合,完全符合
20,您做事小心翼翼,恰恰相反,不太符合,不确定,比较符合,完全符合
21,您经常会面带笑容,恰恰相反,不太符合,不确定,比较符合,完全符合
22,您说话很谨慎,恰恰相反,不太符合,不确定,比较符合,完全符合
23,演讲时您会怯场,恰恰相反,不太符合,不确定,比较符合,完全符合
24,做事前您会准备充分,恰恰相反,不太符合,不确定,比较符合,完全符合
25,您很有勇气,恰恰相反,不太符合,不确定,比较符合,完全符合
26,交流时您会观察对方,恰恰相反,不太符合,不确定,比较符合,完全符合
27,以前的目标您都实现了,恰恰相反,不太符合,不确定,比较符合,完全符合
28,您胆大心细,恰恰相反,不太符合,不确定,比较符合,完全符合
29,您精力非常充沛,恰恰相反,不太符合,不确定,比较符合,完全符合
30,您对自己未来感到迷茫,恰恰相反,不太符合,不确定,比较符合,完全符合
31,您非常善于社交,恰恰相反,不太符合,不确定,比较符合,完全符合
32,您的工作表现非常出色,恰恰相反,不太符合,不确定,比较符合,完全符合
33,您是非常温柔的人,恰恰相反,不太符合,不确定,比较符合,完全符合
34,您非常善解人意,恰恰相反,不太符合,不确定,比较符合,完全符合
35,别人非常喜欢您,恰恰相反,不太符合,不确定,比较符合,完全符合
36,最近您很有耐心,恰恰相反,不太符合,不确定,比较符合,完全符合
37,最近您在家里经常鼓励孩子,恰恰相反,不太符合,不确定,比较符合,完全符合
38,最近在家感到筋疲力尽,恰恰相反,不太符合,不确定,比较符合,完全符合
39,最近您的表现很好,恰恰相反,不太符合,不确定,比较符合,完全符合
40,最近您在家里发过脾气,恰恰相反,不太符合,不确定,比较符合,完全符合
41,最近您在家里说话谨慎,恰恰相反,不太符合,不确定,比较符合,完全符合
42,最近您善解人意,恰恰相反,不太符合,不确定,比较符合,完全符合
43,最近您精力充沛,恰恰相反,不太符合,不确定,比较符合,完全符合
44,最近您经常思考未来,恰恰相反,不太符合,不确定,比较符合,完全符合
45,最近您在家里做事小心翼翼,恰恰相反,不太符合,不确定,比较符合,完全符合
46,最近您在家里非常内向,恰恰相反,不太符合,不确定,比较符合,完全符合
47,最近您的气质优雅,恰恰相反,不太符合,不确定,比较符合,完全符合
48,最近您喜欢热闹的环境,恰恰相反,不太符合,不确定,比较符合,完全符合
49,最近家人都非常喜欢您,恰恰相反,不太符合,不确定,比较符合,完全符合
50,最近您在自我突破,恰恰相反,不太符合,不确定,比较符合,完全符合
51,最近您的改变很多,恰恰相反,不太符合,不确定,比较符合,完全符合
52,最近您没有吵过架,恰恰相反,不太符合,不确定,比较符合,完全符合
53,最近您表现很出色,恰恰相反,不太符合,不确定,比较符合,完全符合
54,最近您有点儿疲惫,恰恰相反,不太符合,不确定,比较符合,完全符合
55,最近您对未来感到迷茫,恰恰相反,不太符合,不确定,比较符合,完全符合
56,最近您的能力与日俱增,恰恰相反,不太符合,不确定,比较符合,完全符合
57,最近您家里的事不太顺利,恰恰相反,不太符合,不确定,比较符合,完全符合
58,最近您压力很大,恰恰相反,不太符合,不确定,比较符合,完全符合
59,最近您的表现很稳定,恰恰相反,不太符合,不确定,比较符合,完全符合
60,最近您无所畏惧,恰恰相反,不太符合,不确定,比较符合,完全符合
61,最近您在家很有魅力,恰恰相反,不太符合,不确定,比较符合,完全符合
62,最近您在家有些郁闷,恰恰相反,不太符合,不确定,比较符合,完全符合
63,最近您非常温柔,恰恰相反,不太符合,不确定,比较符合,完全符合
64,最近您在家里很开心,恰恰相反,不太符合,不确定,比较符合,完全符合
65,最近您在家里说话很多,恰恰相反,不太符合,不确定,比较符合,完全符合
66,最近您很有影响力,恰恰相反,不太符合,不确定,比较符合,完全符合
67,最近您做事非常细心,恰恰相反,不太符合,不确定,比较符合,完全符合
68,最近您有时不冷静,恰恰相反,不太符合,不确定,比较符合,完全符合
69,最近您有时会不好意思,恰恰相反,不太符合,不确定,比较符合,完全符合
70,最近您提高了自我要求,恰恰相反,不太符合,不确定,比较符合,完全符合
